dates,top_death_province,top_death_number
1/21/2020,,
1/21/2020,,
1/21/2020,,
1/22/2020,,
1/22/2020,,
1/22/2020,,
1/23/2020,,
1/23/2020,,
1/23/2020,,
1/24/2020,Hubei,24
1/24/2020,Hebei,1
1/24/2020,Heilongjiang,1
1/25/2020,Hubei,52
1/25/2020,Hebei,1
1/25/2020,Heilongjiang,1
1/26/2020,Hubei,76
1/26/2020,Hebei,1
1/26/2020,Heilongjiang,1
1/27/2020,Hubei,100
1/27/2020,Beijing,1
1/27/2020,Hebei,1
1/28/2020,Hubei,125
1/28/2020,Beijing,1
1/28/2020,Hainan,1
1/29/2020,Hubei,162
1/29/2020,Henan,2
1/29/2020,Beijing,1
1/30/2020,Hubei,162
1/30/2020,Heilongjiang,2
1/30/2020,Henan,2
1/31/2020,Hubei,204
1/31/2020,Heilongjiang,2
1/31/2020,Henan,2
2/1/2020,Hubei,249
2/1/2020,Heilongjiang,2
2/1/2020,Henan,2
2/2/2020,Hubei,350
2/2/2020,Chongqing,2
2/2/2020,Heilongjiang,2
2/3/2020,Hubei,414
2/3/2020,Chongqing,2
2/3/2020,Heilongjiang,2
2/4/2020,Hubei,479
2/4/2020,Chongqing,2
2/4/2020,Heilongjiang,2
2/5/2020,Hubei,549
2/5/2020,Heilongjiang,3
2/5/2020,Chongqing,2
2/6/2020,Hubei,549
2/6/2020,Heilongjiang,3
2/6/2020,Chongqing,2
2/7/2020,Hubei,699
2/7/2020,Heilongjiang,5
2/7/2020,Henan,4
2/8/2020,Hubei,780
2/8/2020,Heilongjiang,6
2/8/2020,Henan,6
2/9/2020,Hubei,871
2/9/2020,Heilongjiang,7
2/9/2020,Henan,6
2/10/2020,Hubei,974
2/10/2020,Heilongjiang,7
2/10/2020,Henan,6
2/11/2020,Hubei,1068
2/11/2020,Heilongjiang,8
2/11/2020,Henan,8
2/12/2020,Hubei,1310
2/12/2020,Henan,10
2/12/2020,Heilongjiang,9
2/13/2020,Hubei,1426
2/13/2020,Heilongjiang,11
2/13/2020,Henan,11
2/14/2020,Hubei,1318
2/14/2020,Heilongjiang,11
2/14/2020,Henan,11
